,TB,,,,,,,Malaria (p.falc),,,,,,,,,,,,,,,Malaria (p.vivax),,,,,,,,Malaria,HIV,,,,,,,,,,,,,RoundWorm,,,Hookworm,,Whipworm,,,Worms,,,,Schistosomiasis,,LF,,,Total,,,TB,,,,,,,Malaria (p.falc),,,,,,,,,,,,,,,,,,,Malaria (p.vivax),,,,,,,Malaria,HIV,,,,,,,,,,,,RoundWorm,,,Hookworm,,Whipworm,,,,,,Worms,Schistomasis,,Onchocerciasis,,LF,,,Total
Country,Impact of Active TB/HIV+ Treatment Regimen,Impact of Active TB/HIV- Treatment Regimen,Impact of MDR-TB Treatment Regimen,,,Impact of XDR-TB Treatment Regimen,Total Impact,Impact of AL,Impact of AS+SP,Impact of DHA-PPQ,Impact of AS+MQ,Impact of AS+AQ,Impact of CQ + PQ,Impact of DHA-PPQ + PQ,Impact of ART + NQ,Impact of ART + PPQ,Impact of AL + PQ,Impact of SP,Impact of AS + MQ + PQ,Impact of QN + CL,Impact of QN + D,Total Impact (p.falc),Impact of CQ+PQ,Impact of CQ,Impact of CQ + PG,Impact of AL,Impact of AL+PQ,Impact of AS + AQ,Impact of DHA-PPQ+PQ,Total Impact (p.vivax),Total Impact,Impact of 3TC,Impact of ABC,Impact of AZT,Impact of ddl,Impact of d4T,Impact of EFV,Impact of FTC,Impact of LPV/r,Impact of NVP,Impact of TDF,Impact of ATV/r,Impact of NFV,Total Impact,Alb,Mbd,Ivm+Alb,Alb,Mbd,Alb,Mbd,Ivm+Alb,Impact of Roundworm,Impact of Hookworm,Impact of Whipworm,Total Impact,PZQ,Total Impact,Impact of Single dose of DEC (6mg/kg)+ALB(400mg),Impact of Combination of ALB(400mg)+IVM(400ug/kg),Total Impact,,,Country,Impact of Active TB/HIV+ Treatment Regimen,Impact of Active TB/HIV- Treatment Regimen,Impact of MDR-TB Treatment Regimen,,,Impact of XDR-TB Treatment Regimen,Total Impact,AL,AL+PQ,AM,ART+NQ,ART+PPQ,AS+AQ,AS+MQ,AS+MQ+PQ,AS+SP,AS+SP+PQ,AT+PG,CQ+PQ,DHA-PPQ,DHA-PPQ+PQ,PQ,QN,QN+CL,QN+D,Total Impact (p.falc),CQ + PQ,CQ,DHA-PPQ,AL,AL + PQ,AS + AQ + PQ,Total Impact (p.vivax),Total Impact,Impact of 3TC,Impact of ABC,Impact of AZT,Impact of ddl,Impact of d4T,Impact of EFV,Impact of FTC,Impact of LPV/r,Impact of NVP,Impact of ATV/r,Impact of TDF,Total Impact,Alb,Mbd,Ivm+Alb,Alb,Mbd,Alb,Mbd,Ivm+Alb,Impact of Roundworm,Impact of Hookworm,Impact of Whipworm,Total Impact,PZQ,Total Impact,Impact of Ivermectin,Total Impact,Impact of Single dose of DEC (6mg/kg)+ALB(400mg),Impact of Combination of ALB(400mg)+IVM(400ug/kg),Total Impact,
Drug,"isoniazid (INH or H), rifampin (R or RMP), ethambutol (E or EMB), and pyrazinamide (Z or PZA).","isoniazid (INH or H), rifampin (R or RMP), ethambutol (E or EMB), and pyrazinamide (Z or PZA).",Z+S+Lfx+Eto+Cs+PAS,S+Lfx+Eto+Cs+PAS,Km+Lfx+Eto+Cs+PAS,Cs+ Km(or)Amk(or)Cm+Lfx(or)Mfx(or)Gfx(or)Ofx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drug,"isoniazid (INH or H), rifampin (R or RMP), ethambutol (E or EMB), and pyrazinamide (Z or PZA).","isoniazid (INH or H), rifampin (R or RMP), ethambutol (E or EMB), and pyrazinamide (Z or PZA).",Z+S+Lfx+Eto+Cs+PAS,S+Lfx+Eto+Cs+PAS,Km+Lfx+Eto+Cs+PAS,Cs+ Km(or)Amk(or)Cm+Lfx(or)Mfx(or)Gfx(or)Ofx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egypt,94.48,"92,371.71",9.47,1.47,28.89,59.70,"92,565.72",3.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.85,30.93,0.15,12.66,0.00,13.88,13.27,1.90,0.29,19.25,6.14,0.00,0.00,98.45, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,"  51,167.05 ","  51,167.05 ",,  0.03 ,  0.03 ,"143,838.94",, Egypt,"3,672.76","23,426.68",615.03,54.91,"1,271.66",69.61,"29,110.66",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,94.49,7.88,41.14,0.23,1.17,58.88,19.77,11.45,43.00,1.13,66.38,345.50, , , , , , , , ,0.00,0.00,0.00,0.00,"  2,182.17 ","2,182.17",0.00,0.00,,,0.00,"31,638.33"
El Salvador,437.09,"5,521.04",0.31,0.05,0.56,2.05,"5,961.10",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,500.30,12.13,404.07,1.77,24.08,335.96,34.77,61.00,84.46,96.57,54.36,1.05,"1,610.53", , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"7,571.64",, El Salvador,390.77,"2,492.54",12.79,4.87,51.74,2.49,"2,955.20",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.24,0.00,0.00,0.00,0.00,0.00,0.24,0.24,499.78,10.09,192.31,0.24,1.24,372.04,132.57,44.39,208.94,7.18,442.01,"1,910.79", , , , , , , , ,0.00,0.00,0.00,0.00,,0.00,,0.00,,,0.00,"4,866.23"
Equatorial Guinea,"1,323.16","5,044.29",0.00,0.00,0.00,4.56,"6,372.01",0.00,0.00,0.00,0.00,"26,990.04",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"26,990.04",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"26,990.04",857.68,3.46,352.50,0.00,385.53,363.57,51.46,7.24,537.83,167.65,0.00,0.00,"2,726.94",  75.77 , ,  71.67 ,  17.53 , ,  7.21 , ,  20.03 ,  147.44 ,  17.53 ,  27.25 ,  192.22 ,  10.80 ,  10.80 ,,  2.22 ,  2.22 ,"63,284.27",, Equatorial Guinea,633.99,"4,043.90",85.93,2.84,32.85,4.36,"4,803.88",0.00,0.00,0.00,0.00,0.00,"16,260.97",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"16,260.97",0.00,0.00,0.00,0.00,0.00,0.00,0.00,"16,260.97",74.59,2.27,29.22,0.06,0.31,54.08,19.24,7.19,31.53,1.08,64.05,283.63,  260.66 , ,  237.51 ,  29.36 , ,  12.47 , ,  35.04 ,498.17,29.36,47.50,575.04,  26.52 ,26.52,1.54,1.54,,  4.37 ,4.37,"21,955.97"
Eritrea,"19,232.38","98,447.18",0.00,0.00,0.00,82.51,"117,762.07",0.00,0.00,0.00,0.00,"1,933.63",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,933.63",983.64,0.00,0.00,0.00,0.00,0.00,0.00,983.64,"2,917.27",272.00,0.79,112.35,0.00,122.50,113.72,15.93,2.02,172.08,52.29,0.00,0.00,863.69, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,  42.06 ,  42.06 ,,  0.01 ,  0.01 ,"123,518.73",, Eritrea,"11,390.27","72,652.82",0.00,0.00,0.00,0.00,"84,043.09",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,525.53","1,525.53","1,525.53","1,196.84",78.34,500.14,2.23,11.44,793.69,268.49,130.36,528.88,14.34,903.92,"4,428.67", , , , , , , , ,0.00,0.00,0.00,0.00,  20.58 ,20.58,0.00,0.00,,  0.02 ,0.02,"90,017.88"
Estonia,141.22,"1,676.59",12.72,1.97,61.99,1.58,"1,896.07",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.54,0.07,0.18,0.00,0.28,0.17,0.00,0.06,0.31,0.00,0.00,0.00,1.61, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"1,897.68",, Estonia,93.45,596.05,45.94,2.53,59.11,3.86,800.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, , , , , , , , ,0.00,0.00,0.00,0.00,,0.00,,0.00,,,0.00,800.93
Ethiopia,"217,241.59","1,935,136.00",61.76,9.56,122.72,413.97,"2,152,985.59","188,291.80",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"188,291.80",0.00,"110,329.99",0.00,0.00,0.00,0.00,0.00,"110,329.99","298,621.79","35,455.00",830.40,"14,246.13",0.00,"16,292.84","14,352.06","1,793.45",793.59,"21,976.07","5,879.07",0.00,0.00,"111,618.62", , , , , , , , ,  -   ,  -   ,  -   ,  -   ,"  2,539.07 ","  2,539.07 ",,  0.00 ,  0.00 ,"2,754,056.87",, Ethiopia,"219,990.71","1,403,210.46","6,593.25",847.17,"7,352.15",530.37,"1,638,524.11","25,195.85",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"25,195.85",0.00,"13,381.44",0.00,0.00,0.00,0.00,"13,381.44","38,577.29","2,415.01",9.68,899.11,0.00,0.00,"1,866.83",680.18,203.33,986.96,38.06,"2,255.52","9,354.67", , , , , , , , ,0.00,0.00,0.00,0.00,"  17,958.81 ","17,958.81",3.27,3.27,,  0.02 ,0.02,"1,704,418.19"
Fiji,26.31,"2,064.78",0.00,0.00,0.00,1.36,"2,092.45",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.67,0.02,15.20,0.00,16.49,15.35,2.17,0.21,23.28,7.14,0.00,0.00,116.53,  27.88 , , ,  33.74 , ,  0.22 , , ,  27.88 ,  33.74 ,  0.22 ,  61.84 ,,  -   ,  8.54 ,,  8.54 ,"2,279.36",, Fiji,149.93,956.31,0.00,0.00,0.00,1.66,"1,107.90",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.61,0.13,11.76,0.00,0.00,24.45,8.90,2.65,12.91,0.50,29.53,122.45,  2.66 , ,  2.24 ,  3.76 , ,  0.03 , ,  0.06 ,4.89,3.76,0.10,8.74,,0.00,,0.00,  0.28 ,  0.09 ,0.38,"1,239.48"
Finland,"1,322.17",0.00,1.90,0.29,2.42,0.04,"1,326.82",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"1,326.83",, Finland,101.14,645.13,6.52,1.43,11.79,0.71,766.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, , , , , , , , ,0.00,0.00,0.00,0.00,,0.00,,0.00,,,0.00,766.72
France,"1,771.75","24,895.94",0.00,0.00,0.00,0.53,"26,668.22",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.77,1.08,2.62,0.00,4.08,2.40,0.00,0.82,4.39,0.00,0.00,0.00,23.15, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"26,691.37",, France,"1,631.19","10,404.56",0.00,0.00,0.00,0.00,"12,035.75",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, , , , , , , , ,0.00,0.00,0.00,0.00,,0.00,,0.00,,,0.00,"12,035.75"
French Polynesia,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,  -   ,,  -   ,0.00,, French Polynesia,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, , , , , , , , ,0.00,0.00,0.00,0.00,,0.00,,0.00,  -   ,  -   ,0.00,0.00
Gabon,"6,212.88","6,594.10",0.00,0.00,0.00,10.39,"12,817.37",0.00,0.00,0.00,0.00,"31,017.43",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"31,017.43",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"31,017.43",404.82,3.60,165.97,0.00,183.48,167.29,22.66,4.76,254.88,74.43,0.00,0.00,"1,281.89",  292.70 , ,  269.08 ,  40.26 , ,  19.59 , ,  54.80 ,  561.78 ,  40.26 ,  74.39 ,  676.43 ,  118.90 ,  118.90 ,,  0.54 ,  0.54 ,"76,930.00",, Gabon,"1,002.87","6,396.82",6.97,0.67,5.86,3.27,"7,416.47",0.00,0.00,0.00,0.00,0.00,"7,947.83",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"7,947.83",0.00,0.00,0.00,0.00,0.00,0.00,0.00,"7,947.83",222.12,4.19,84.73,0.10,0.51,166.58,59.33,19.54,92.21,3.19,197.93,850.43,  363.62 , ,  360.30 ,  65.00 , ,  75.73 , ,  91.77 ,723.92,65.00,167.50,956.42,  298.15 ,298.15,0.00,0.00,,  1.28 ,1.28,"17,470.57"
Gambia,"1,285.70","15,252.83",0.00,0.00,0.00,11.11,"16,549.64","32,537.41",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"32,537.41",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"32,537.41",742.35,6.42,303.80,0.00,335.73,309.94,42.48,8.69,465.25,138.88,0.00,0.00,"2,353.53", , , , , , , , ,  -   ,  -   ,  -   ,  -   ,  385.81 ,  385.81 ,,  1.94 ,  1.94 ,"84,365.75",, Gambia,"1,314.38","8,383.76",0.00,0.00,0.00,30.94,"9,729.09","2,926.74",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"2,926.74",0.00,0.00,0.00,0.00,0.00,0.00,0.00,"2,926.74",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, , , , , , , , ,0.00,0.00,0.00,0.00,  995.91 ,995.91,0.00,0.00,,,0.00,"13,651.74"
Georgia,197.75,"15,601.47",81.18,12.57,169.13,8.50,"16,070.60",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,205.31,0.31,85.15,0.00,92.51,85.19,11.91,1.29,130.70,39.26,0.00,0.00,651.62, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"16,722.22",, Georgia,880.33,"5,615.19",382.87,23.60,270.40,24.27,"7,196.67",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.86,0.21,6.80,0.00,0.02,13.49,4.89,1.56,7.41,0.27,16.21,68.73, , , , , , , , ,0.00,0.00,0.00,0.00,,0.00,,0.00,,,0.00,"7,265.41"
Germany,"3,000.64","15,359.76",9.87,1.53,19.48,1.73,"18,393.02",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.10,3.33,8.12,0.00,12.64,7.43,0.00,2.53,13.60,0.00,0.00,0.00,71.76, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"18,464.78",, Germany,875.75,"5,585.98",0.00,0.00,0.00,12.79,"6,474.52",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, , , , , , , , ,0.00,0.00,0.00,0.00,,0.00,,0.00,,,0.00,"6,474.52"
Ghana,"29,454.93","125,735.55",1.14,0.18,2.58,114.47,"155,308.85","510,876.87",0.00,0.00,0.00,"409,646.13",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"920,523.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"920,523.00","22,259.97",241.19,"9,084.04",0.00,"10,089.45","9,258.13","1,253.74",296.02,"13,923.39","4,099.03",0.00,0.00,"70,504.95", , , , , , , , ,  -   ,  -   ,  -   ,  -   ,"  1,948.00 ","  1,948.00 ",,  126.83 ,  126.83 ,"2,068,934.63",, Ghana,"17,811.71","113,611.98","4,455.97",72.53,975.40,197.33,"137,124.93","114,274.89",0.00,0.00,0.00,0.00,"109,927.10",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"224,201.99",0.00,0.00,0.00,0.00,0.00,0.00,0.00,"224,201.99","1,223.32",70.61,506.36,2.00,10.24,823.85,284.42,132.49,537.24,15.89,951.61,"4,558.04", , , , , , , , ,0.00,0.00,0.00,0.00,"  1,012.16 ","1,012.16",0.00,0.00,,  4.93 ,4.93,"366,902.05"
Greece,518.74,"2,655.33",0.44,0.07,1.11,0.24,"3,175.93",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.01,0.03,0.00,0.05,0.03,0.00,0.01,0.05,0.00,0.00,0.00,0.27, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"3,176.19",, Greece,308.99,"1,970.87",0.00,0.00,0.00,1.49,"2,281.34",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, , , , , , , , ,0.00,0.00,0.00,0.00,,0.00,,0.00,,,0.00,"2,281.34"
Greenland,10.71,54.83,0.00,0.00,0.00,0.05,65.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,65.59,,Greenland,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, , , , , , , , ,0.00,0.00,0.00,0.00,,0.00,,0.00,,,0.00,0.00
Grenada,16.37,75.11,0.00,0.00,0.00,0.06,91.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,48.29,1.01,40.43,0.32,2.00,32.04,2.92,6.42,8.34,8.10,4.55,0.19,154.61, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,246.16,, Grenada,5.91,37.67,0.00,0.00,0.00,0.07,43.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,48.04,0.17,17.34,0.00,0.00,38.02,13.45,3.66,19.15,0.67,45.21,185.71, , , , , , , , ,0.00,0.00,0.00,0.00,,0.00,,0.00,,,0.00,229.35
Guam,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,0.00,, Guam,16.25,103.64,0.00,0.00,0.00,0.18,120.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.41,0.00,0.15,0.00,0.00,0.32,0.12,0.03,0.17,0.01,0.39,1.60, , , , , , , , ,0.00,0.00,0.00,0.00,  -   ,0.00,,0.00,,,0.00,121.67
Guatemala,"3,924.21","43,906.71",2.57,0.40,7.06,47.01,"47,887.95",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,73.46,0.00,0.00,0.00,0.00,0.00,0.00,73.46,73.46,"1,513.27",19.76,616.93,0.00,688.83,621.15,82.22,22.39,948.96,269.98,0.00,0.00,"4,783.48", , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"52,744.89",, Guatemala,"1,241.81","7,920.86",740.94,54.23,"1,054.12",66.30,"11,078.27",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.03,6.48,0.00,0.00,0.00,0.00,0.00,6.48,6.51,285.93,25.24,126.48,0.73,3.72,174.69,57.99,34.81,131.79,3.27,195.22,"1,039.86", , , , , , , , ,0.00,0.00,0.00,0.00,  -   ,0.00,0.00,0.00,,,0.00,"12,124.63"
Guinea,"29,991.32","132,746.41",8.72,1.35,20.59,16.58,"162,784.97",0.00,0.00,0.00,0.00,"586,873.91",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"586,873.91",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"586,873.91","5,660.94",69.49,"2,314.89",0.00,"2,577.65","2,308.40",304.29,80.08,"3,566.28","1,003.19",0.00,0.00,"17,885.21", , , , , , , , ,  -   ,  -   ,  -   ,  -   ,"  1,976.98 ","  1,976.98 ",,  10.57 ,  10.57 ,"1,356,405.56",, Guinea,"16,316.99","104,077.92","2,518.56",162.45,"2,051.33",169.67,"125,296.92",0.00,0.00,0.00,0.00,0.00,"299,761.40",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"299,761.40",0.00,0.00,0.00,0.00,0.00,0.00,0.00,"299,761.40",470.83,23.68,192.17,0.67,3.40,323.43,112.83,49.70,204.75,6.36,376.69,"1,764.49", , , , , , , , ,0.00,0.00,0.00,0.00,"  4,372.26 ","4,372.26",0.00,0.00,,  12.96 ,12.96,"431,208.03"
Guinea-Bissau,"7,399.46","18,570.59",0.00,0.00,0.00,19.28,"25,989.34","265,215.20",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"265,215.20",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"265,215.20","1,621.95",19.82,661.98,0.00,737.35,667.28,88.83,23.04,"1,017.47",291.63,0.00,0.00,"5,129.35", , , , , , , , ,  -   ,  -   ,  -   ,  -   ,  220.94 ,  220.94 ,,  8.40 ,  8.40 ,"561,778.42",, Guinea-Bissau,"3,476.69","22,176.04",0.00,0.00,0.00,0.00,"25,652.72","12,213.96",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"12,213.96",0.00,0.00,0.00,0.00,0.00,0.00,0.00,"12,213.96",165.00,0.66,61.38,0.00,0.00,127.63,46.47,13.85,67.39,2.59,154.13,639.11, , , , , , , , ,0.00,0.00,0.00,0.00,  392.08 ,392.08,,0.00,,  3.27 ,3.27,"38,901.13"
Guyana,694.58,"2,667.74",0.00,0.00,0.00,2.41,"3,364.73",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.01,0.00,0.00,0.00,0.00,12.01,12.87,0.00,0.00,0.00,0.00,0.00,0.00,12.87,24.88,598.74,14.31,484.43,1.61,28.35,409.28,41.28,69.26,97.72,114.55,64.41,0.96,"1,924.90", , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,  1.75 ,,  1.75 ,"5,328.27",, Guyana,291.47,"1,859.16",0.00,0.00,0.00,3.23,"2,153.87",0.00,0.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.77,1.13,0.00,0.00,0.00,0.00,0.00,1.13,1.90,673.43,30.87,277.33,0.82,4.25,463.64,160.61,66.58,295.89,8.64,538.19,"2,520.26", , , , , , , , ,0.00,0.00,0.00,0.00,,0.00,,0.00,  7.15 ,  18.10 ,25.24,"4,701.27"
